"date","week","light","area","plant","height","number_leaves"
"2021-05-20",5,"SH","22SH","222SH",9,10
"2021-05-20",5,"SH","22SH","322SH",9,8
"2021-05-20",5,"SH","23SH","123SH",7,8
"2021-05-20",5,"SH","23SH","223SH",9,10
"2021-05-20",5,"SH","23SH","323SH",9,8
"2021-05-20",5,"SH","24SH","124SH",10,10
"2021-05-20",5,"SH","24SH","224SH",8,8
"2021-05-20",5,"SH","24SH","324SH",9,8
"2021-05-27",6,"FL","1FL","11FL",10,15
"2021-05-27",6,"FL","1FL","21FL",9,14
"2021-05-27",6,"FL","1FL","31FL",14,15
"2021-05-27",6,"FL","2FL","12FL",12,16
"2021-05-27",6,"FL","2FL","22FL",14,14
"2021-05-27",6,"FL","2FL","32FL",13,16
"2021-05-27",6,"FL","3FL","13FL",11,14
"2021-05-27",6,"FL","3FL","23FL",10,13
"2021-05-27",6,"FL","3FL","33FL",13,14
"2021-05-27",6,"FL","4FL","14FL",12,14
"2021-05-27",6,"FL","4FL","24FL",11,15
"2021-05-27",6,"FL","4FL","34FL",10,15
"2021-05-27",6,"FL","5FL","15FL",13,14
"2021-05-27",6,"FL","5FL","25FL",12,15
"2021-05-27",6,"FL","5FL","35FL",11,14
"2021-05-27",6,"FL","6FL","16FL",12,13
"2021-05-27",6,"FL","6FL","26FL",10,12
"2021-05-27",6,"FL","6FL","36FL",11,13
"2021-05-27",6,"SH","1SH","11SH",12,15
"2021-05-27",6,"SH","1SH","21SH",14,14
"2021-05-27",6,"SH","1SH","31SH",11,14
"2021-05-27",6,"SH","2SH","12SH",13,15
"2021-05-27",6,"SH","2SH","22SH",11,15
"2021-05-27",6,"SH","2SH","32SH",10,14
"2021-05-27",6,"SH","3SH","13SH",12,15
"2021-05-27",6,"SH","3SH","23SH",13,16
"2021-05-27",6,"SH","3SH","33SH",13,15
"2021-05-27",6,"SH","4SH","14SH",11,14
"2021-05-27",6,"SH","4SH","24SH",12,11
"2021-05-27",6,"SH","4SH","34SH",11,13
"2021-05-27",6,"SH","5SH","15SH",13,14
"2021-05-27",6,"SH","5SH","25SH",10,13
"2021-05-27",6,"SH","5SH","35SH",12,13
"2021-05-27",6,"SH","6SH","16SH",15,12
"2021-05-27",6,"SH","6SH","26SH",11,12
"2021-05-27",6,"SH","6SH","36SH",13,14
"2021-05-27",6,"SH","7SH","17SH",15,16
"2021-05-27",6,"SH","7SH","27SH",17,17
"2021-05-27",6,"SH","7SH","37SH",16,16
"2021-05-27",6,"SH","8SH","18SH",12,15
"2021-05-27",6,"SH","8SH","28SH",10,14
"2021-05-27",6,"SH","8SH","38SH",13,14
"2021-05-27",6,"SH","9SH","19SH",14,15
"2021-05-27",6,"SH","9SH","29SH",10,14
"2021-05-27",6,"SH","9SH","39SH",12,13
"2021-05-27",6,"SH","10SH","110SH",13,13
"2021-05-27",6,"SH","10SH","210SH",12,12
"2021-05-27",6,"SH","10SH","310SH",14,14
"2021-05-27",6,"SH","11SH","111SH",12,14
"2021-05-27",6,"SH","11SH","211SH",13,14
"2021-05-27",6,"SH","11SH","311SH",13,14
"2021-05-27",6,"SH","12SH","112SH",14,16
"2021-05-27",6,"SH","12SH","212SH",12,14
"2021-05-27",6,"SH","12SH","312SH",12,15
"2021-05-27",6,"SH","13SH","113SH",11,14
"2021-05-27",6,"SH","13SH","213SH",10,12
"2021-05-27",6,"SH","13SH","313SH",12,14
"2021-05-27",6,"SH","14SH","114SH",13,12
"2021-05-27",6,"SH","14SH","214SH",11,12
"2021-05-27",6,"SH","14SH","314SH",13,13
"2021-05-27",6,"SH","15SH","115SH",12,13
"2021-05-27",6,"SH","15SH","215SH",14,13
"2021-05-27",6,"SH","15SH","315SH",13,14
"2021-05-27",6,"SH","16SH","116SH",11,15
"2021-05-27",6,"SH","16SH","216SH",12,14
"2021-05-27",6,"SH","16SH","316SH",14,14
"2021-05-27",6,"SH","17SH","117SH",12,12
"2021-05-27",6,"SH","17SH","217SH",13,14
"2021-05-27",6,"SH","17SH","317SH",11,14
"2021-05-27",6,"SH","18SH","118SH",12,14
"2021-05-27",6,"SH","18SH","218SH",13,14
"2021-05-27",6,"SH","18SH","318SH",13,16
"2021-05-27",6,"SH","19SH","119SH",11,12
"2021-05-27",6,"SH","19SH","219SH",14,13
"2021-05-27",6,"SH","19SH","319SH",12,12
"2021-05-27",6,"SH","20SH","120SH",13,13
"2021-05-27",6,"SH","20SH","220SH",14,12
"2021-05-27",6,"SH","20SH","320SH",15,14
"2021-05-27",6,"SH","21SH","121SH",11,15
"2021-05-27",6,"SH","21SH","221SH",12,14
"2021-05-27",6,"SH","21SH","321SH",13,12
"2021-05-27",6,"SH","22SH","122SH",11,12
"2021-05-27",6,"SH","22SH","222SH",13,14
